ASX code,Company name,Security type,ISIN code
RIOIOD,CITIWARRANTS (CGMA),CTW 27.763 RIO ROLL INSTALMENT WARRANT 17-JUN-11,AU000RIOIOD2
RIOIOE,CITIWARRANTS (CGMA),CITIWARRANTS 6000 RIO INSTALMENT WARRANT 28-JUN-12,AU000RIOIOE0
RIOIOI,CITIWARRANTS (CGMA),CTW 6500 RIO ROLLING INSTALMENT WARRANT 15-DEC-11,AU000RIOIOI1
RIOIOL,CITIWARRANTS (CGMA),CTW 5000 RIO ROLLING INSTALMENT WARRANT 25-MAY-12,AU000RIOIOL5
RIOIOM,CITIWARRANTS (CGMA),CTW 7250 RIO ROLLING INSTALMENT WARRANT 25-MAY-12,AU000RIOIOM3
RIOION,CITIWARRANTS (CGMA),CITIWARRANTS 8500 RIO INSTALMENT WARRANT 29-SEP-11,AU000RIOION1
RIOIOO,CITIWARRANTS (CGMA),CTW 4500 RIO ROLLING INSTALMENT WARRANT 15-DEC-11,AU000RIOIOO9
RIOIOR,CITIWARRANTS (CGMA),CITIWARRANTS 7000 RIO INSTALMENT WARRANT 24-JAN-12,AU000RIOIOR2
RIOIOS,CITIWARRANTS (CGMA),CITIWARRANTS 8000 RIO INSTALMENT WARRANT 24-JAN-12,AU000RIOIOS0
RIOIOU,CITIWARRANTS (CGMA),CITIWARRANTS 5000 RIO INSTALMENT WARRANT 29-MAR-12,AU000RIOIOU6
RIOIOW,CITIWARRANTS (CGMA),CITIWARRANTS 3500 RIO INSTALMENT WARRANT 30-AUG-12,AU000RIOIOW2
RIOKOA,CITIWARRANTS (CGMA),CITIWARRANTS RIO 41.2865 MINI LONG,AU000RIOKOA4
RIOKOB,CITIWARRANTS (CGMA),CITIWARRANTS RIO 56.9573 MINI LONG,AU000RIOKOB2
RIOKOC,CITIWARRANTS (CGMA),CITIWARRANTS RIO 69.0561 MINI LONG EXPIRING,AU000RIOKOC0
RIOKOD,CITIWARRANTS (CGMA),CITIWARRANTS RIO 71.6497 MINI LONG EXPIRING,AU000RIOKOD8
RIOKOE,CITIWARRANTS (CGMA),CITIWARRANTS 58.8513 RIO MINI LONG,AU000RIOKOE6
RIOKOF,CITIWARRANTS (CGMA),CITIWARRANTS 59.8748 RIO MINI LONG,AU000RIOKOF3
RIOSOA,CITIWARRANTS (CGMA),CITIWARR $52.1458 RIO SELFFUND INSTAL 28-JUN-12,AU000RIOSOA7
RIOSOB,CITIWARRANTS (CGMA),CTW $52.9683 RIO SELF FUNDING INSTAL 27-JUN-13,AU000RIOSOB5
RIOSOC,CITIWARRANTS (CGMA),CITIWARRANTS 36.5482 RIO SELF FUND INSTAL 26-JUN-1,AU000RIOSOC3
RIOSOD,CITIWARRANTS (CGMA),CITIWARRANTS 45.225 RIO SELF FUND INSTAL 26-JUN-1,AU000RIOSOD1
RIOSOE,CITIWARRANTS (CGMA),CITIWARRANTS 37.0019 RIO SELF FUND INSTAL 23-JUN-1,AU000RIOSOE9
RIOSOF,CITIWARRANTS (CGMA),CITIWARRANTS 45.5019 RIO SELF FUND INSTAL 23-JUN-1,AU000RIOSOF6
RIOVOA,CITIWARRANTS (CGMA),CITIWARRANTS 7700 RIO CALL WARRANT 28-JUL-11,AU000RIOVOA1
RIOVOB,CITIWARRANTS (CGMA),CITIWARRANTS 8200 RIO CALL WARRANT 28-JUL-11,AU000RIOVOB9
RIOVOC,CITIWARRANTS (CGMA),CITIWARRANTS 8700 RIO CALL WARRANT 28-JUL-11,AU000RIOVOC7
RIOVOD,CITIWARRANTS (CGMA),CITIWARRANTS 7700 RIO CALL WARRANT 29-SEP-11,AU000RIOVOD5
RIOVOE,CITIWARRANTS (CGMA),CITIWARRANTS 8200 RIO CALL WARRANT 29-SEP-11,AU000RIOVOE3
RIOVOF,CITIWARRANTS (CGMA),CITIWARRANTS 7000 RIO CALL WARRANT 29-SEP-11,AU000RIOVOF0
RIOWOA,CITIWARRANTS (CGMA),CITIWARRANTS 8000 RIO CALL WARRANT 27-OCT-11,AU000RIOWOA9
RIOWOB,CITIWARRANTS (CGMA),CITIWARRANTS 8500 RIO CALL WARRANT 27-OCT-11,AU000RIOWOB7
RIOWOF,CITIWARRANTS (CGMA),CITIWARRANTS 8100 RIO CALL WARRANT 25-AUG-11,AU000RIOWOF8
RIOWOG,CITIWARRANTS (CGMA),CITIWARRANTS 8000 RIO CALL WARRANT 27-OCT-11,AU000RIOWOG6
RIOWOH,CITIWARRANTS (CGMA),CITIWARRANTS 8600 RIO CALL WARRANT 25-AUG-11,AU000RIOWOH4
RIOWOI,CITIWARRANTS (CGMA),CITIWARRANTS 9100 RIO CALL WARRANT 25-AUG-11,AU000RIOWOI2
RIOXOA,CITIWARRANTS (CGMA),CITIWARRANTS 6900 RIO BARRIER CALL WARR 24-NOV-11,AU000RIOXOA7
RIOXOB,CITIWARRANTS (CGMA),CITIWARRANTS 6800 RIO BARRIER CALL WARR 24-NOV-11,AU000RIOXOB5
RIOXOC,CITIWARRANTS (CGMA),CITIWARRANTS 7500 RIO BARRIER CALL WARR 27-OCT-11,AU000RIOXOC3
RIOXOD,CITIWARRANTS (CGMA),CITIWARRANTS 7800 RIO BARRIER CALL WARR 25-AUG-11,AU000RIOXOD1
RIOXOE,CITIWARRANTS (CGMA),CITIWARRANTS 6600 RIO BARRIER CALL WARR 25-AUG-11,AU000RIOXOE9
RIOXOF,CITIWARRANTS (CGMA),CITIWARRANTS 7400 RIO BARRIER CALL WARR 27-OCT-11,AU000RIOXOF6
RIOXOG,CITIWARRANTS (CGMA),CITIWARRANTS 7300 RIO BARRIER CALL WARR 27-OCT-11,AU000RIOXOG4
RIOXOH,CITIWARRANTS (CGMA),CITIWARRANTS 7100 RIO BARRIER CALL WARR 27-OCT-11,AU000RIOXOH2
RIOXOI,CITIWARRANTS (CGMA),CITIWARRANTS 7000 RIO BARRIER CALL WARR 24-NOV-11,AU000RIOXOI0
RIOXOJ,CITIWARRANTS (CGMA),CITIWARRANTS 7900 RIO BARRIER CALL WARR 28-JUL-11,AU000RIOXOJ8
RIOXOK,CITIWARRANTS (CGMA),CITIWARRANTS 7200 RIO BARRIER CALL WARR 28-JUL-11,AU000RIOXOK6
RIOXOM,CITIWARRANTS (CGMA),CITIWARRANTS 6200 RIO BARRIER CALL WARR 24-NOV-11,AU000RIOXOM2
RIOXON,CITIWARRANTS (CGMA),CITIWARRANTS 7050 RIO BARRIER CALL WARR 24-NOV-11,AU000RIOXON0
RIOYOA,CITIWARRANTS (CGMA),CITIWARRANTS 6500 RIO BARRIER CALL WARR 24-NOV-11,AU000RIOYOA5
RIOYOB,CITIWARRANTS (CGMA),CITIWARRANTS 6400 RIO BARRIER CALL WARR 24-NOV-11,AU000RIOYOB3
RMDKOA,CITIWARRANTS (CGMA),CITIWARRANTS 2.0183 RMD MINI LONG,AU000RMDKOA9
RMDKOC,CITIWARRANTS (CGMA),CITIWARRANTS RMD 1.5099 MINI LONG,AU000RMDKOC5
RSGKOA,CITIWARRANTS (CGMA),CITIWARRANTS RSG 1.0005 MINI LONG,AU000RSGKOA9
SDLKOA,CITIWARRANTS (CGMA),CITIWARRANTS 0.3027 SDL MINI LONG,AU000SDLKOA9
SEKKOA,CITIWARRANTS (CGMA),CITIWARRANTS SEK 4.5744 MINI LONG,AU000SEKKOA9
SFRKOA,CITIWARRANTS (CGMA),CITIWARRANTS 5.5158 SFR MINI LONG EXPIRING,AU000SFRKOA1
SFRKOB,CITIWARRANTS (CGMA),CITIWARRANTS 5.2733 SFR MINI LONG,AU000SFRKOB9
SFRKOC,CITIWARRANTS (CGMA),CITIWARRANTS 4.52 SFR MINI LONG,AU000SFRKOC7
SFYIOL,CITIWARRANTS (CGMA),CTW 2450 SFY ROLLING INSTALMENT WARRANT 25-MAY-12,AU000SFYIOL8
SFYSOE,CITIWARRANTS (CGMA),CITIWARRANTS 18.50 SFY SELF FUND INSTAL 23-JUN-16,AU000SFYSOE2
SFYSOX,CITIWARRANTS (CGMA),CTW 22.2684 SFY SELF FUND INSTAL (STOP LOSS)19NOV2,AU000SFYSOX2
SGBIOH,CITIWARRANTS (CGMA),CITIWARRANTS 2000 SGB INSTALMENT WARRANT 27-NOV-08,AU000SGBIOH2
SGBIOL,CITIWARRANTS (CGMA),CITIWARRANTS 1800 SGB INSTALMENT WARRANT 18-DEC-08,AU000SGBIOL4
SGMKOA,CITIWARRANTS (CGMA),CITIWARRANTS SGM 12.1984 MINI LONG,AU000SGMKOA0
SGPKOA,CITIWARRANTS (CGMA),CITIWARRANTS SGP 2.5229 MINI LONG EXPIRING,AU000SGPKOA3
SGPKOB,CITIWARRANTS (CGMA),CITIWARRANTS 1.761 SGP MINI LONG,AU000SGPKOB1
SGPKOC,CITIWARRANTS (CGMA),CITIWARRANTS 2.2641 SGP MINI LONG,AU000SGPKOC9
SGPSOA,CITIWARRANTS (CGMA),CITIWARRANTS 4.863 SGP SELF FUND INSTAL 28-JUN-12,AU000SGPSOA6
SHLIOD,CITIWARRANTS (CGMA),CTW 800 SHL ROLLING INSTALMENT WARRANT 17-JUN-11,AU000SHLIOD8
SLFIOA,CITIWARRANTS (CGMA),CTW 1000 SLF ROLLING INSTALMENT WARRANT 23-JUN-10,AU000SLFIOA8
SLFIOD,CITIWARRANTS (CGMA),CTW 425 SLF ROLLING INSTALMENT WARRANT 17-JUN-11,AU000SLFIOD2
SLFIOL,CITIWARRANTS (CGMA),CTW 400 SLF ROLLING INSTALMENT WARRANT 25-MAY-12,AU000SLFIOL5
SLFSOA,CITIWARRANTS (CGMA),CITI 13.2589 SLF SELF FUND INSTAL 28-JUN-12,AU000SLFSOA7
SLFSOX,CITIWARRANTS (CGMA),CTW 4.003 SLF SELF FUND INSTAL (STOP LOSS) 19NOV2,AU000SLFSOX9
SPFKOA,CITIWARRANTS (CGMA),CITIWARRANTS 1220.7945  SPF S&P 500 EMINI EXPIRING,AU000SPFKOA5
SPFKOB,CITIWARRANTS (CGMA),CITIWARRANTS 1121.7508  SPF S&P 500 EMINI EXPIRING,AU000SPFKOB3
SPFKOC,CITIWARRANTS (CGMA),CITIWARRANTS 1002.9935 SPF S&P 500 EMINI FUT MINI,AU000SPFKOC1
SPFKOD,CITIWARRANTS (CGMA),CITIWARRANTS 902.6975 SPF S&P 500 EMINI FUT MINI,AU000SPFKOD9
SPFKOE,CITIWARRANTS (CGMA),CITIWARRANTS 1110.1445 SPF S&P 500 EMINI FUT MINI,AU000SPFKOE7
SPFKOF,CITIWARRANTS (CGMA),CITIWARRANTS 1021.4619 SPF S&P 500 EMINI FUT MINI,AU000SPFKOF4
STOIOA,CITIWARRANTS (CGMA),CTW 9.598 STO ROLLING INSTALMENT WARRANT 23-JUN-10,AU000STOIOA3
STOIOD,CITIWARRANTS (CGMA),CTW 1100 STO ROLLING INSTALMENT WARRANT 17-JUN-11,AU000STOIOD7
STOIOE,CITIWARRANTS (CGMA),CITIWARRANTS 800 STO INSTALMENT WARRANT 28-JUN-12,AU000STOIOE5
STOIOI,CITIWARRANTS (CGMA),CTW 1300 STO ROLLING INSTALMENT WARRANT 15-DEC-11,AU000STOIOI6
STOIOL,CITIWARRANTS (CGMA),CTW 1250 STO ROLLING INSTALMENT WARRANT 25-MAY-12,AU000STOIOL0
STOIOO,CITIWARRANTS (CGMA),CTW 900 STO ROLLING INSTALMENT WARRANT 15-DEC-11,AU000STOIOO4
STOIOU,CITIWARRANTS (CGMA),CITIWARRANTS 1000 STO INSTALMENT WARRANT 29-MAR-12,AU000STOIOU1
STOIOW,CITIWARRANTS (CGMA),CITIWARRANTS 600 STO INSTALMENT WARRANT 30-AUG-12,AU000STOIOW7
STOKOA,CITIWARRANTS (CGMA),CITIWARRANTS STO 9.4898 MINI LONG EXPIRING,AU000STOKOA9
STOKOB,CITIWARRANTS (CGMA),CITIWARRANTS STO 10.8262 MINI LONG EXPIRING,AU000STOKOB7
STOKOC,CITIWARRANTS (CGMA),CITIWARRANTS 7.9228 STO MINI LONG,AU000STOKOC5
STOKOD,CITIWARRANTS (CGMA),CITIWARRANTS 6.8935 STO MINI LONG,AU000STOKOD3
STOKOE,CITIWARRANTS (CGMA),CITIWARRANTS 8.8896 STO MINI LONG,AU000STOKOE1
STOSOA,CITIWARRANTS (CGMA),CITIWARRANTS 7.4529 STO SELF FUND INSTAL 28-JUN-12,AU000STOSOA2
STOSOB,CITIWARRANTS (CGMA),CTW 10.1925 STO SELF FUNDING INSTAL 27-JUN-13,AU000STOSOB0
STOSOC,CITIWARRANTS (CGMA),CITIWARRANTS 6.5902 STO SELF FUND INSTAL 26-JUN-14,AU000STOSOC8
STOSOD,CITIWARRANTS (CGMA),CITIWARRANTS 8.7194 STO SELF FUND INSTAL 26-JUN-15,AU000STOSOD6
STOSOE,CITIWARRANTS (CGMA),CITIWARRANTS 6.35 STO SELF FUND INSTAL 23-JUN-16,AU000STOSOE4
STOWOE,CITIWARRANTS (CGMA),CITIWARRANTS 1500 STO CALL WARRANT 25-AUG-11,AU000STOWOE6
STOWOF,CITIWARRANTS (CGMA),CITIWARRANTS 1650 STO CALL WARRANT 25-AUG-11,AU000STOWOF3
STOXOA,CITIWARRANTS (CGMA),CITIWARRANTS 1050 STO BARRIER CALL WARR 24-NOV-11,AU000STOXOA2
STOXOB,CITIWARRANTS (CGMA),CITIWARRANTS 950 STO BARRIER CALL WARR 24-NOV-11,AU000STOXOB0
STOXOD,CITIWARRANTS (CGMA),CITIWARRANTS 1150 STO BARRIER CALL WARR 25-AUG-11,AU000STOXOD6
STOXOE,CITIWARRANTS (CGMA),CITIWARRANTS 1100 STO BARRIER CALL WARR 25-AUG-11,AU000STOXOE4
STOXOG,CITIWARRANTS (CGMA),CITIWARRANTS 1200 STO BARRIER CALL WARR 28-JUL-11,AU000STOXOG9
STOXOH,CITIWARRANTS (CGMA),CITIWARRANTS 1175 STO BARRIER CALL WARR 27-OCT-11,AU000STOXOH7
STOXOI,CITIWARRANTS (CGMA),CITIWARRANTS 1000 STO BARRIER CALL WARR 27-OCT-11,AU000STOXOI5
STWIO1,CITIWARRANTS (CGMA),CTW 2200 STW ROLLING CAPPED INSTALMENT 11-MAY-12,AU000STWIO13
STWIOA,CITIWARRANTS (CGMA),CTW 3500 STW ROLLING INSTALMENT WARRANT 23-JUN-10,AU000STWIOA6
STWIOD,CITIWARRANTS (CGMA),CTW 2400 STW ROLLING INSTALMENT WARRANT 17-JUN-11,AU000STWIOD0
STWIOM,CITIWARRANTS (CGMA),CTW 2400 STW ROLLING INSTALMENT WARRANT 25-MAY-12,AU000STWIOM1
STWSOA,CITIWARRANTS (CGMA),CTW $37.3886 STW SELF FUND INSTAL 28-JUN-12,AU000STWSOA5
STWSOC,CITIWARRANTS (CGMA),CITIWARRANTS 16.3185 STW INSTALMENT WARRANT 26-JUN,AU000STWSOC1
STWSOD,CITIWARRANTS (CGMA),CITIWARRANTS 27.0624 STW SELF FUND INSTAL 26-JUN-1,AU000STWSOD9
STWSOE,CITIWARRANTS (CGMA),CITIWARRANTS 19.50 STW SELF FUND INSTAL 23-JUN-16,AU000STWSOE7
STWSOF,CITIWARRANTS (CGMA),CITIWARRANTS 23.50 STW SELF FUND INSTAL 23-JUN-16,AU000STWSOF4
STWSOX,CITIWARRANTS (CGMA),CTW 22.8586 STW SELF FUND INSTAL(STOP LOSS) 19NOV2,AU000STWSOX7
SUNIOA,CITIWARRANTS (CGMA),CTW 850 SUN ROLLING INSTALMENT WARRANT 23-JUN-10,AU000SUNIOA3
SUNIOD,CITIWARRANTS (CGMA),CTW 425 SUN ROLLING INSTALMENT WARRANT 17-JUN-11,AU000SUNIOD7
SUNIOI,CITIWARRANTS (CGMA),CTW 800 SUN ROLLING INSTALMENT WARRANT 15-DEC-11,AU000SUNIOI6
SUNIOM,CITIWARRANTS (CGMA),CTW 450 SUN ROLLING INSTALMENT WARRANT 25-MAY-12,AU000SUNIOM8
SUNIOO,CITIWARRANTS (CGMA),CTW 500 SUN ROLLING INSTALMENT WARRANT 15-DEC-11,AU000SUNIOO4
SUNIOW,CITIWARRANTS (CGMA),CITIWARRANTS 350 SUN INSTALMENT WARRANT 30-AUG-12,AU000SUNIOW7
SUNKOA,CITIWARRANTS (CGMA),CITIWARRANTS SUN 6.553 MINI LONG EXPIRING,AU000SUNKOA9
SUNKOB,CITIWARRANTS (CGMA),CITIWARRANTS SUN 6.3768 MINI LONG EXPIRING,AU000SUNKOB7
SUNKOC,CITIWARRANTS (CGMA),CITIWARRANTS 4.8311 SUN MINI LONG,AU000SUNKOC5
SUNKOD,CITIWARRANTS (CGMA),CITIWARRANTS 6.1548 SUN MINI LONG,AU000SUNKOD3
SUNKOE,CITIWARRANTS (CGMA),CITIWARRANTS 5.3242 SUN MINI LONG,AU000SUNKOE1
SUNSOA,CITIWARRANTS (CGMA),CITIWARRANTS 13.0366 SUN SELF FUND INSTAL 28JUN12,AU000SUNSOA2
SUNSOB,CITIWARRANTS (CGMA),CITIWARRANTS 6.4542 SUN SELF FUND INSTAL 27-JUN-13,AU000SUNSOB0
SUNSOC,CITIWARRANTS (CGMA),CITIWARRANTS 3.9268 SUN SELF FUND INSTAL 26-JUN-14,AU000SUNSOC8
SUNSOE,CITIWARRANTS (CGMA),CITIWARRANTS 3.80 SUN SELF FUND INSTAL 23-JUN-16,AU000SUNSOE4
SUNWOE,CITIWARRANTS (CGMA),CITIWARRANTS 800 SUN CALL WARRANT 28-JUL-11,AU000SUNWOE6
SUNWOF,CITIWARRANTS (CGMA),CITIWARRANTS 1000 SUN CALL WARRANT 28-JUL-11,AU000SUNWOF3
SWMKOA,CITIWARRANTS (CGMA),CITIWARRANTS 2.26 SWM MINI LONG,AU000SWMKOA7
SYISOX,CITIWARRANTS (CGMA),CTW 12.7754 SYI SELF FUND INSTAL(STOP LOSS) 19NOV2,AU000SYISOX6
TAHIOA,CITIWARRANTS (CGMA),CTW 6.474 TAH ROLLING INSTALMENT WARRANT 23-JUN-10,AU000TAHIOA5
TAHIOD,CITIWARRANTS (CGMA),CTW 0.46 TAH ROLLING INSTALMENT WARRANT 17-JUN-11,AU000TAHIOD9
TAHIOF,CITIWARRANTS (CGMA),CITIWARRANTS 175 TAH INSTALMENT WARRANT 28-JUN-12,AU000TAHIOF4
TAHIOO,CITIWARRANTS (CGMA),CTW 4.121 TAH ROLLING INSTALMENT WARRANT 15-DEC-11,AU000TAHIOO6
TAHKOA,CITIWARRANTS (CGMA),CITIWARRANTS TAH 1.8424 MINI LONG,AU000TAHKOA1
TAHSOE,CITIWARRANTS (CGMA),CITIWARRANTS 1.31 TAH SELF FUND INSTAL 23-JUN-16,AU000TAHSOE6
TCLIOA,CITIWARRANTS (CGMA),CTW 3.987 TCL ROLLING INSTALMENT WARRANT 23-JUN-10,AU000TCLIOA3
TCLIOO,CITIWARRANTS (CGMA),CTW 350 TCL ROLLING INSTALMENT WARRANT 15-DEC-09,AU000TCLIOO4
TCLKOA,CITIWARRANTS (CGMA),CITIWARRANTS TCL 4.0661 MINI LONG,AU000TCLKOA9
TCLSOA,CITIWARRANTS (CGMA),CITIWARRANTS 4.4252 TCL SELF FUND INSTAL 28-JUN-12,AU000TCLSOA2
TCLSOE,CITIWARRANTS (CGMA),CITIWARRANTS 2.50 TCL SELF FUND INSTAL 23-JUN-16,AU000TCLSOE4
TENKOC,CITIWARRANTS (CGMA),CITIWARRANTS TEN  0.7136 MINI LONG,AU000TENKOC7
TLSIO1,CITIWARRANTS (CGMA),CTW 130 TLS ROLLING CAPPED INSTALMENT 11-MAY-12,AU000TLSIO16
TLSIOA,CITIWARRANTS (CGMA),CTW 275 TLS ROLLING INSTALMENT WARRANT 23-JUN-10,AU000TLSIOA9
TLSIOD,CITIWARRANTS (CGMA),CTW 200 TLS ROLLING INSTALMENT WARRANT 17-JUN-11,AU000TLSIOD3
TLSIOE,CITIWARRANTS (CGMA),CITIWARRANTS 150 TLS INSTALMENT WARRANT 28-JUN-12,AU000TLSIOE1
TLSIOF,CITIWARRANTS (CGMA),CITIWARRANTS 200 TLS INSTALMENT WARRANT 28-JUN-12,AU000TLSIOF8
TLSIOI,CITIWARRANTS (CGMA),CTW 325 TLS ROLLING INSTALMENT WARRANT 15-DEC-11,AU000TLSIOI2
TLSIOL,CITIWARRANTS (CGMA),CTW 200 TLS ROLLING INSTALMENT WARRANT 25-MAY-12,AU000TLSIOL6
TLSIOM,CITIWARRANTS (CGMA),CTW 250 TLS ROLLING INSTALMENT WARRANT 25-MAY-12,AU000TLSIOM4
TLSIOO,CITIWARRANTS (CGMA),CTW 225 TLS ROLLING INSTALMENT WARRANT 15-DEC-11,AU000TLSIOO0
TLSIOP,CITIWARRANTS (CGMA),CITIWARRANTS 180 TLS INSTALMENT WARRANT 29-SEP-11,AU000TLSIOP7
TLSIOR,CITIWARRANTS (CGMA),CITIWARRANTS 150 TLS INSTALMENT WARRANT 24-JAN-12,AU000TLSIOR3
TLSIOS,CITIWARRANTS (CGMA),CITIWARRANTS 185 TLS INSTALMENT WARRANT 24-JAN-12,AU000TLSIOS1
TLSIOU,CITIWARRANTS (CGMA),CITIWARRANTS 200 TLS INSTALMENT WARRANT 29-MAR-12,AU000TLSIOU7
TLSIOW,CITIWARRANTS (CGMA),CITIWARRANTS 150 TLS INSTALMENT WARRANT 30-AUG-12,AU000TLSIOW3
TLSKOA,CITIWARRANTS (CGMA),CITIWARRANTS TLS 2.3359 MINI LONG,AU000TLSKOA5
TLSKOB,CITIWARRANTS (CGMA),CITIWARRANTS TLS 1.9486 MINI LONG,AU000TLSKOB3
TLSKOC,CITIWARRANTS (CGMA),CITIWARRANTS TLS 2.0817 MINI LONG,AU000TLSKOC1
TLSSOA,CITIWARRANTS (CGMA),CITIWARRANTS 2.0545 TLS SELF FUND INSTAL 28-JUN-12,AU000TLSSOA8
TLSSOB,CITIWARRANTS (CGMA),CTW 1.4517 TLS SELF FUNDING INSTAL  27-JUN-13,AU000TLSSOB6
TLSSOC,CITIWARRANTS (CGMA),CITIWARRANTS 1.3092 TLS SELF FUND INSTAL 26-JUN-14,AU000TLSSOC4
TLSSOD,CITIWARRANTS (CGMA),CITIWARRANTS 1.7673 TLS SELF FUND INSTAL 26-JUN-15,AU000TLSSOD2
TLSSOE,CITIWARRANTS (CGMA),CITIWARRANTS 1.26 TLS SELF FUND INSTAL 23-JUN-16,AU000TLSSOE0
TLSSOF,CITIWARRANTS (CGMA),CITIWARRANTS 1.56 TLS SELF FUND INSTAL 23-JUN-16,AU000TLSSOF7
TLSVOA,CITIWARRANTS (CGMA),CITIWARRANTS 300 TLS CALL WARRANT 25-AUG-11,AU000TLSVOA2
TLSVOB,CITIWARRANTS (CGMA),CITIWARRANTS 325 TLS CALL WARRANT 25-AUG-11,AU000TLSVOB0
TLSVOC,CITIWARRANTS (CGMA),CITIWARRANTS 300 TLS CALL WARRANT 29-SEP-11,AU000TLSVOC8
TLSVOD,CITIWARRANTS (CGMA),CITIWARRANTS 325 TLS CALL WARRANT 29-SEP-11,AU000TLSVOD6
TLSWOC,CITIWARRANTS (CGMA),CITIWARRANTS 300 TLS CALL WARRANT 27-OCT-11,AU000TLSWOC6
TLSWOD,CITIWARRANTS (CGMA),CITIWARRANTS 325 TLS CALL WARRANT 27-OCT-11,AU000TLSWOD4
TLSWOH,CITIWARRANTS (CGMA),CITIWARRANTS 260 TLS CALL WARRANT 28-JUL-11,AU000TLSWOH5
TLSWOI,CITIWARRANTS (CGMA),CITIWARRANTS 290 TLS CALL WARRANT 28-JUL-11,AU000TLSWOI3
TLSXOB,CITIWARRANTS (CGMA),CITIWARRANTS 275 TLS BARRIER CALL WARR 25-AUG-11,AU000TLSXOB6
TLSXOC,CITIWARRANTS (CGMA),CITIWARRANTS 285 TLS BARRIER CALL WARR 25-AUG-11,AU000TLSXOC4
TLSXOJ,CITIWARRANTS (CGMA),CITIWARRANTS 290 TLS BARRIER CALL WARR 27-OCT-11,AU000TLSXOJ9
TLSXOK,CITIWARRANTS (CGMA),CITIWARRANTS 280 TLS BARRIER CALL WARR 27-OCT-11,AU000TLSXOK7
TOLIOE,CITIWARRANTS (CGMA),CITIWARRANTS 300 TOL INSTALMENT WARRANT 28-JUN-12,AU000TOLIOE0
TOLIOO,CITIWARRANTS (CGMA),CTW 500 TOL ROLLING INSTALMENT WARRANT 15-DEC-11,AU000TOLIOO9
TOLIOU,CITIWARRANTS (CGMA),CITIWARRANTS 350 TOL INSTALMENT WARRANT 29-MAR-12,AU000TOLIOU6
TOLKOA,CITIWARRANTS (CGMA),CITIWARRANTS TOL 3.0181 MINI LONG,AU000TOLKOA4
TOLSOA,CITIWARRANTS (CGMA),CITIWARRANTS $9.3873 TOL SELF FUND INSTAL 28-JUN-1,AU000TOLSOA7
TOLSOB,CITIWARRANTS (CGMA),CTW 2.2097 TOL SELF FUNDING INSTAL 27-JUN-13,AU000TOLSOB5
TOLSOC,CITIWARRANTS (CGMA),CITIWARRANTS 2.522 TOL SELF FUND INSTAL 26-JUN-14,AU000TOLSOC3
TOLSOD,CITIWARRANTS (CGMA),CITIWARRANTS 5.5347 TOL SELF FUND INSTAL 26-JUN-15,AU000TOLSOD1
TOLSOE,CITIWARRANTS (CGMA),CITIWARRANTS 2.50 TOL SELF FUND INSTAL 23-JUN-16,AU000TOLSOE9
TSEIOI,CITIWARRANTS (CGMA),CTW 900 TSE ROLLING INSTALMENT WARRANT 15-DEC-09,AU000TSEIOI7
TSEIOO,CITIWARRANTS (CGMA),CTW 600 TSE ROLLING INSTALMENT WARRANT 15-DEC-09,AU000TSEIOO5
TTSIOF,CITIWARRANTS (CGMA),CITIWARRANTS 150 TTS INSTALMENT WARRANT 28-JUN-12,AU000TTSIOF1
TTSIOO,CITIWARRANTS (CGMA),CTW 1.384 TTS ROLLING INSTALMENT WARRANT 15-DEC-11,AU000TTSIOO3
TTSKOA,CITIWARRANTS (CGMA),CITIWARRANTS TTS 1.6689 MINI LONG,AU000TTSKOA8
TWEKOA,CITIWARRANTS (CGMA),CITIWARRANTS TWE 2.4813 MINI LONG,AU000TWEKOA2
VBAIOA,CITIWARRANTS (CGMA),CTW 50 VBA ROLLING INSTALMENT WARRANT 23-JUN-10,AU000VBAIOA4
VBAIOL,CITIWARRANTS (CGMA),CTW 40 VBA ROLLING INSTALMENT WARRANT 26-MAY-11,AU000VBAIOL1
WBCIO1,CITIWARRANTS (CGMA),CTW 1100 WBC ROLLING CAPPED INSTALMENT 11-MAY-12,AU000WBCIO11
WBCIOA,CITIWARRANTS (CGMA),CTW 1600 WBC ROLLING INSTALMENT WARRANT 23-JUN-10,AU000WBCIOA8
WBCIOB,CITIWARRANTS (CGMA),CTW 1272 WBC ROLLING INSTALMENT WARRANT 23-JUN-10,AU000WBCIOB6
WBCIOD,CITIWARRANTS (CGMA),CTW 1350 WBC ROLLING INSTALMENT WARRANT 17-JUN-11,AU000WBCIOD2
WBCIOE,CITIWARRANTS (CGMA),CITIWARRANTS 1200 WBC INSTALMENT WARRANT 28-JUN-12,AU000WBCIOE0
WBCIOF,CITIWARRANTS (CGMA),CITIWARRANTS 1600 WBC INSTALMENT WARRANT 28-JUN-12,AU000WBCIOF7
WBCIOG,CITIWARRANTS (CGMA),CTW 1502 WBC ROLLING INSTALMENT WARRANT 15-DEC-09,AU000WBCIOG5
WBCIOI,CITIWARRANTS (CGMA),CTW 1800 WBC ROLLING INSTALMENT WARRANT 15-DEC-11,AU000WBCIOI1
WBCIOL,CITIWARRANTS (CGMA),CTW 2000 WBC ROLLING INSTALMENT WARRANT 25-MAY-12,AU000WBCIOL5
WBCION,CITIWARRANTS (CGMA),CITIWARRANTS 2200 WBC INSTALMENT WARRANT 29-SEP-11,AU000WBCION1
